player,team_id,yr,prediction
"Duncan,Tim",SAS,2015,5
"Evans,Reggie",SAC,2015,5
"Gibson,Taj",CHI,2015,5
"Gobert,Rudy",UTA,2015,5
"Hamilton,Justin",TOT,2015,5
"Hamilton,Justin",MIN,2015,5
"Haslem,Udonis",MIA,2015,5
"Hibbert,Roy",IND,2015,5
"Johnson,Amir",TOR,2015,5
"Koufos,Kosta",MEM,2015,5
"Len,Alex",PHO,2015,5
"Lopez,Robin",POR,2015,5
"Mahinmi,Ian",IND,2015,5
"Marion,Shawn",CLE,2015,5
"Mozgov,Timofey",TOT,2015,5
"Mozgov,Timofey",DEN,2015,5
"Mozgov,Timofey",CLE,2015,5
"Noah,Joakim",CHI,2015,5
"Noel,Nerlens",PHI,2015,5
"Pachulia,Zaza",MIL,2015,5
"Perkins,Kendrick",TOT,2015,5
"Perkins,Kendrick",OKC,2015,5
"Plumlee,Mason",BRK,2015,5
"Plumlee,Miles",TOT,2015,5
"Plumlee,Miles",PHO,2015,5
"Sacre,Robert",LAL,2015,5
"Sanders,Larry",MIL,2015,5
"Sims,Henry",PHI,2015,5
"Thompson,Jason",SAC,2015,5
"Thompson,Tristan",CLE,2015,5
"Wright,Brandan",TOT,2015,5
"Wright,Brandan",DAL,2015,5
"Wright,Brandan",PHO,2015,5
"Zeller,Cody",CHO,2015,5
"Adams,Steven",OKC,2016,5
"Allen,Lavoy",IND,2016,5
"Aminu,Al-Farouq",POR,2016,5
"Andersen,Chris",MEM,2016,5
"Asik,Omer",NOP,2016,5
"Bass,Brandon",LAL,2016,5
"Biyombo,Bismack",TOR,2016,5
"Bogut,Andrew",GSW,2016,5
"Booker,Trevor",UTA,2016,5
"Cauley-Stein,Willie",SAC,2016,5
"Chandler,Tyson",PHO,2016,5
"Cunningham,Dante",NOP,2016,5
"Davis,Ed",POR,2016,5
"Dieng,Gorgui",MIN,2016,5
"Duncan,Tim",SAS,2016,5
"Gibson,Taj",CHI,2016,5
"Gobert,Rudy",UTA,2016,5
"Hibbert,Roy",LAL,2016,5
"Hollis-Jefferson,Rondae",BRK,2016,5
"Johnson,Amir",BOS,2016,5
"Koufos,Kosta",SAC,2016,5
"Len,Alex",PHO,2016,5
"Lopez,Robin",NYK,2016,5
"Mahinmi,Ian",IND,2016,5
"Mozgov,Timofey",CLE,2016,5
"Nance Jr.,Larry",LAL,2016,5
"Noah,Joakim",CHI,2016,5
"Noel,Nerlens",PHI,2016,5
"Pachulia,Zaza",DAL,2016,5
"Plumlee,Mason",POR,2016,5
"Sims,Henry",BRK,2016,5
"Thompson,Jason",TOR,2016,5
"Thompson,Tristan",CLE,2016,5
"Vonleh,Noah",POR,2016,5
"Wright,Brandan",MEM,2016,5
"Zeller,Cody",CHO,2016,5
"Aldrich,Cole",NYK,2015,6
"Baynes,Aron",SAS,2015,6
"Drummond,Andre",DET,2015,6
"Faried,Kenneth",DEN,2015,6
