Rk,Lineup,Tm,Season,G,MP,Tm,Opp,Pace,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,PTS
113,J. Dudley | M. Gortat | K. Oubre | G. Temple | J. Wall,WAS,2015-16,17,114.7,232,234,97.5,-2,-17,0.027,9,5,0.123,0.052,-9,-12,-0.042,-4
114,L. Aldridge | B. Diaw | M. Ginobili | K. Leonard | P. Mills,SAS,2015-16,42,114.5,221,220,92.5,8,-6,0.056,8,11,0.077,0.078,4,-1,0.116,28
115,D. Favors | G. Hayward | R. Hood | T. Lyles | R. Neto,UTA,2015-16,22,113.3,211,213,89.8,5,-1,0.029,2,3,0.014,0.034,10,12,-0.003,22
116,W. Cauley-Stein | D. Cousins | R. Gay | B. McLemore | R. Rondo,SAC,2015-16,15,112.2,232,229,98.6,11,2,0.05,-5,-22,0.05,0.037,15,20,0.011,32
117,M. Dunleavy | P. Gasol | T. Gibson | E. Moore | D. Rose,CHI,2015-16,9,111.8,223,224,96,-6,-29,0.036,5,0,0.122,0.053,13,11,0.081,6
118,T. Ariza | P. Beverley | J. Harden | D. Howard | J. Smith,HOU,2015-16,18,109.6,227,225,99,3,25,-0.042,0,10,-0.056,-0.05,14,19,-0.015,20
119,A. Brown | J. Clarkson | R. Hibbert | L. Nance | L. Williams,LAL,2015-16,7,109.4,217,214,94.6,-6,1,-0.032,-2,-8,0.011,-0.037,14,11,0.127,0
120,R. Gobert | G. Hayward | R. Hood | T. Lyles | R. Neto,UTA,2015-16,22,109,189,188,83,2,-5,0.025,11,25,-0.013,0.058,3,5,-0.018,18
121,M. Belinelli | D. Collison | D. Cousins | R. Gay | R. Rondo,SAC,2015-16,29,107.8,232,229,102.6,4,2,0.015,4,-5,0.107,0.025,3,16,-0.104,15
122,R. Covington | N. Noel | J. Okafor | I. Smith | N. Stauskas,PHI,2015-16,12,106.1,222,223,100.6,-11,-18,-0.013,-15,-21,-0.181,-0.048,0,0,0,-37
123,M. Ellis | P. George | G. Hill | S. Hill | I. Mahinmi,IND,2015-16,21,105.6,215,217,98.2,20,10,0.083,-4,-21,0.036,0.069,15,16,0.033,51
124,R. Covington | J. Grant | N. Noel | I. Smith | N. Stauskas,PHI,2015-16,17,104.7,219,216,99.7,0,1,-0.003,6,21,-0.028,0.014,6,8,0.001,12
125,C. Bosh | G. Dragic | G. Green | D. Wade | H. Whiteside,MIA,2015-16,15,104.4,194,194,89.2,7,-25,0.099,-8,-18,-0.014,0.083,7,13,-0.067,13
126,K. Bazemore | A. Horford | P. Millsap | T. Sefolosha | J. Teague,ATL,2015-16,46,103.4,211,233,103.1,-31,-39,-0.076,-10,-15,-0.084,-0.092,25,43,-0.11,-47
127,A. Afflalo | C. Anthony | J. Calderon | R. Lopez | L. Thomas,NYK,2015-16,30,103.2,204,207,95.6,1,-23,0.069,5,-4,0.166,0.087,0,-6,0.11,7
128,R. Felton | W. Matthews | Z. Pachulia | C. Parsons | D. Williams,DAL,2015-16,24,103.1,197,201,92.6,-11,-25,0.002,1,-2,0.027,0.012,20,19,0.101,-1
129,B. Biyombo | D. DeRozan | K. Lowry | T. Ross | L. Scola,TOR,2015-16,23,102.8,194,199,91.7,-4,-19,0.026,-4,-6,-0.03,0.021,2,9,-0.146,-10
130,B. Bogdanovic | J. Johnson | S. Larkin | B. Lopez | T. Young,BRK,2015-16,28,102.6,195,192,90.5,-2,-15,0.027,1,0,0.022,0.033,12,11,0.083,9
131,B. Biyombo | D. DeRozan | K. Lowry | P. Patterson | T. Ross,TOR,2015-16,41,102.2,199,196,92.8,-9,-3,-0.045,-3,3,-0.064,-0.052,5,-1,0.097,-16
132,A. Drummond | E. Ilyasova | R. Jackson | S. Johnson | M. Morris,DET,2015-16,25,101.9,204,200,95.2,6,27,-0.044,9,23,0.001,-0.026,-30,-23,-0.239,-9
133,J. Barea | W. Matthews | D. Nowitzki | Z. Pachulia | C. Parsons,DAL,2015-16,10,101.6,188,191,89.6,-1,8,-0.027,22,36,0.148,0.032,0,1,-0.021,20
134,A. Bradley | J. Jerebko | M. Smart | E. Turner | T. Zeller,BOS,2015-16,19,101.3,197,197,93.4,2,7,-0.006,-3,5,-0.104,-0.016,1,-2,0.066,2
135,B. Griffin | W. Johnson | D. Jordan | C. Paul | J. Redick,LAC,2015-16,17,100.3,199,194,94.1,13,11,0.048,4,1,0.091,0.057,-7,-1,-0.106,23
136,M. World Peace | J. Clarkson | R. Hibbert | J. Randle | D. Russell,LAL,2015-16,19,99.4,198,202,96.6,-16,-16,-0.052,-4,-4,-0.05,-0.059,4,0,0.103,-32
137,E. Fournier | C. Frye | T. Harris | V. Oladipo | N. Vucevic,ORL,2015-16,14,98.3,186,184,90.4,4,12,-0.01,1,8,-0.04,-0.01,-10,-13,0.021,-1
138,M. Conley | M. Gasol | J. Green | C. Lee | Z. Randolph,MEM,2015-16,29,98.1,187,184,90.8,-7,17,-0.087,-12,-19,-0.104,-0.128,1,2,-0.012,-25
139,D. DeRozan | C. Joseph | K. Lowry | P. Patterson | J. Valanciunas,TOR,2015-16,31,97,178,178,88.1,3,-4,0.033,0,-10,0.079,0.034,20,17,0.104,26
140,A. Bradley | J. Crowder | K. Olynyk | J. Sullinger | I. Thomas,BOS,2015-16,26,96.9,205,210,102.8,22,24,0.066,4,16,-0.039,0.07,-9,-20,0.115,39
141,D. Arthur | D. Gallinari | G. Harris | N. Jokic | E. Mudiay,DEN,2015-16,14,96.9,187,188,92.9,4,-5,0.038,-4,-10,0.001,0.027,21,19,0.183,25
142,A. Crabbe | E. Davis | M. Harkless | M. Leonard | C. McCollum,POR,2015-16,23,96.4,185,180,90.9,22,26,0.066,14,19,0.166,0.101,-37,-41,-0.203,21
143,D. Booker | T. Chandler | A. Goodwin | M. Morris | P. Tucker,PHO,2015-16,6,96.1,188,189,94.1,-3,-12,0.015,-8,-30,0.089,-0.004,-8,-11,0.018,-22
144,J. Green | D. Jordan | L. Mbah a Moute | C. Paul | J. Redick,LAC,2015-16,10,94.9,178,181,90.8,4,1,0.022,4,8,0.021,0.034,8,9,0.047,20
